id,name,image,description,region,season,difficulty,avgPrice,rating,featured,interests,sr_no
051656f8-00dc-42e8-9b64-31d64b257a75,Nicobar,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2022/09/23113313/andaman-nicobar.jpg,"Explore pristine beaches, lush green forests, and rich biodiversity in these remote islands of the Bay of Bengal.",Islands,October - May,Challenging,40000,4.3,false,"nature,beach,wildlife",6
099e29ad-0171-4a0d-8318-17852f035661,Varanasi,https://upload.wikimedia.org/wikipedia/commons/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg,"Experience the spiritual heart of India with ancient ghats, temples, and rituals along the sacred Ganges River.",North India,October - March,Moderate,15000,4.4,false,"spiritual,cultural,historical",9
18e4455f-29a2-457c-9520-2a5dd9f79097,Delhi,https://i.postimg.cc/QN9Bbfk2/vecteezy-the-illuminated-architecture-of-a-famous-place-reflects-on-25496410.jpg,"Explore the vibrant streets of Delhi with its iconic Red Fort, tranquil Humayun's Tomb, and the modern Lotus Temple. Experience the perfect blend of history and modernity.",North India,October - March,Easy,5000,4.5,true,"historical,cultural,food",2
28d645da-95a3-454e-96a9-52291e400d85,Pondicherry,https://blog.quickride.in/wp-content/uploads/cropped-Places-to-Visit-in-Pondicherry-850x478.jpg,"Relax in this coastal town with its French colonial charm, serene beaches, and vibrant cafes.",South India,October - March,Easy,19000,4.3,false,"beach,nightlife,cultural",17
2a351f1d-b7e9-4c29-a65b-5ed3d0aecff2,Jodhpur,https://cdn.pixabay.com/photo/2022/10/05/07/11/temple-7499927_1280.jpg,"Discover the Blue City with its majestic Mehrangarh Fort, vibrant markets, and traditional Rajasthani hospitality.",North India,October - March,Easy,18000,4.6,false,"historical,cultural,food",12
434f9184-c69a-4556-bbc9-dfd91cb6fef2,Goa,https://www.sharpholidays.in/blog/wp-content/uploads/2018/02/goa-night-time-beach.jpg,"Relax on golden beaches with azure waters and vibrant culture. Enjoy fresh seafood, explore colonial architecture, and experience the lively nightlife in this tropical paradise.",West India,November - February,Easy,8000,4.7,true,"beach,nightlife,adventure",3
4a2247d0-3f90-4508-9a3f-f743a87c0c2f,Andaman,https://maharajatravels.in/wp-content/uploads/2023/08/Andaman-Honeymoon1-1.jpg,"Discover pristine beaches, crystal-clear waters, and vibrant coral reefs. Perfect for water sports, honeymoons, and relaxing getaways in a tropical paradise.",Islands,October - May,Moderate,14000,4.6,true,"beach,adventure,nature",5
73238d68-0a02-4012-bfef-05b21754ecb2,Hampi,https://s7ap1.scene7.com/is/image/incredibleindia/vitthala-temple-complex-hampi-tri-hero?qlt=82&ts=1727164508836,"Step back in time at this UNESCO World Heritage site, exploring the ruins of the Vijayanagara Empire.",South India,October - February,Moderate,15000,4.6,false,"historical,cultural,adventure",14
7cc2f831-7547-40e9-a7bc-36230c908f77,Amritsar,https://i.pinimg.com/originals/e3/14/dc/e314dc526f0558163b93f88221a547d0.jpg,Experience the spiritual and cultural heart of Punjab at the Golden Temple and Jallianwala Bagh.,North India,October - March,Easy,16000,4.7,true,"spiritual,cultural,food",18
82d5ccec-550a-4e8c-907a-f553c76a44f2,Mumbai,https://i.ytimg.com/vi/tWD_-Rzrn8o/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCKhJ0jzHHsjkkzRf8Dz6Lvuz5a5w,"Explore the bustling metropolis with its iconic landmarks, vibrant street food, and thriving nightlife.",West India,November - February,Easy,22000,4.6,true,"nightlife,food,cultural",13
